Boy1	32	41	8	65088.0	G
Boy2	7	34	8	46424.0	G
Boy3	100	2	6	39786.0	G
Boy4	18	29	10	49617.0	M
Boy5	46	23	7	64968.0	K
Boy6	84	22	6	54413.0	K
Boy7	42	43	1	36402.0	K
Boy8	79	50	3	21936.0	K
Boy9	9	44	5	42525.0	G
Boy10	100	27	5	88730.0	G
Boy11	61	21	2	70896.0	M
Boy12	100	5	9	57947.0	M
Boy13	95	1	9	70138.0	M
Boy14	98	18	8	34409.0	G
Boy15	29	22	4	61191.0	M
Boy16	47	47	8	61338.0	G
Boy17	90	31	7	26394.0	G
Boy18	32	22	2	64821.0	K
Boy19	13	1	1	27789.0	K
Boy20	22	3	1	42234.0	M
Boy21	97	7	1	16459.0	K
Boy22	57	47	3	73145.0	K
Boy23	21	28	6	39431.0	K
Boy24	28	22	6	41511.0	K
Boy25	91	44	6	92639.0	M
Boy26	17	35	3	96613.0	G
Boy27	39	16	2	42321.0	M
Boy28	14	49	5	40530.0	M
Boy29	62	4	2	23110.0	K
Boy30	51	4	6	41273.0	G
Boy31	49	30	5	60740.0	M
Boy32	74	37	8	46141.0	G
Boy33	60	22	4	45141.0	G
Boy34	8	41	4	96328.0	M
Boy35	87	14	7	16590.0	G
Boy36	89	50	5	73403.0	G
Boy37	100	30	9	81891.0	G
Boy38	57	13	7	92807.0	G
Boy39	4	19	8	80830.0	G
Boy40	60	34	5	22593.0	K
Boy41	84	24	9	41319.0	G
Boy42	8	23	9	82332.0	G
Boy43	60	42	10	98678.0	K
Boy44	37	5	9	68744.0	G
Boy45	100	6	7	82300.0	M
Boy46	96	49	1	27648.0	K
Boy47	21	15	8	29288.0	M
Boy48	61	25	3	67945.0	M
Boy49	100	30	2	83422.0	G
Boy50	80	7	1	92510.0	M
Boy51	30	7	4	40986.0	G
Boy52	24	17	5	70576.0	M
Boy53	32	19	7	85867.0	K
Boy54	88	39	2	58050.0	K
Boy55	14	35	5	34035.0	M
Boy56	42	13	2	47291.0	G
Boy57	1	28	10	91459.0	M
Boy58	37	29	1	36972.0	M
Boy59	68	6	4	67340.0	K
Boy60	42	38	5	16073.0	G
Boy61	32	41	8	29129.0	M
Boy62	95	34	8	23003.0	M
Boy63	28	50	7	97201.0	M
Boy64	13	19	9	50363.0	G
Boy65	16	23	7	86928.0	M
Boy66	57	49	7	79395.0	G
Boy67	61	37	1	34317.0	M
Boy68	74	21	1	89606.0	G
Boy69	27	28	10	18623.0	K
Boy70	26	45	6	54360.0	K
Boy71	60	37	9	60354.0	K
Boy72	94	2	1	95200.0	M
Boy73	41	10	9	48062.0	K
Boy74	12	44	1	54401.0	K
Boy75	6	16	3	43983.0	M
Boy76	88	8	8	98944.0	G
Boy77	42	23	6	38840.0	M
Boy78	83	46	5	47303.0	M
Boy79	96	14	5	37145.0	M
Boy80	97	13	3	86719.0	K
